account_holder,contact_number,account_number,current_location,transaction_amount,transaction_history,is_mule
William Parker,+1-876-520-9822x21837,QJAB00210333290820,"44.7300755, -35.020091",8753.09,2023-11-25T13:23:24,1
Alexis Melendez,001-277-751-9409,MMOH90269501220385,"53.543405, -11.199733",3644.24,2024-09-04T03:00:33,0
Bethany George,+1-672-527-7723x876,VTRW55322899536201,"-56.1251085, -47.232578",6901.64,2024-03-18T12:15:41,1
Tara Sandoval,7445699163,UQVD24822997501759,"-82.977681, -7.288445",5675.82,2024-02-26T20:17:51,1
Bianca Alvarado,7582665497,VDSA46795404003490,"-85.1707985, 5.941774",4299.23,2024-02-11T15:11:48,0
Richard Watson,373-780-3996x5497,NRKX25356367876848,"-8.5651775, 169.193439",6683.4,2024-01-04T17:55:06,0
Sean Smith,+1-467-703-6540x580,CJAO39675043153590,"-86.680033, 73.243143",6465.92,2023-11-10T20:36:59,0
Jason Rodriguez,367-257-5488x86350,VCJV77739196595859,"58.8180345, 23.145468",1385.45,2024-02-24T06:47:42,0
Brittany Lee,348.970.4132x245,XZWQ14008226302268,"-64.5112845, 153.062863",5033.4,2024-05-20T03:24:19,1
Ryan Flores,867-303-0632x5878,LUDP40287163655794,"-35.1036105, -29.341815",6516.85,2024-04-23T05:16:59,0
Keith Riley,835-570-2081x40436,XSMH69971333234584,"27.965768, 179.114076",7023.87,2023-11-11T20:33:58,0
Robert Brown,480.848.8550x417,NCSY51503975494616,"89.508668, 137.926473",2344.18,2024-01-16T06:12:46,0
Jonathan Sawyer,482-982-9606x80292,QTVO33007654936667,"67.4685955, 138.586472",9797.29,2024-07-06T21:34:23,1
Gary Miller,(243)435-9661x2180,ZSYK63356343376785,"-70.9791835, 10.302701",1281.51,2024-09-29T04:53:10,0
Rebecca Ball,(881)267-2078,OYNZ29530306839342,"-5.830033, -165.411336",4754.03,2024-07-11T11:47:41,1
